statsMetaNo,centerNm,critYr,ptAge,ptSexCd,statsTrgtNm,ncsNmvl,wholNcsDnmvl,ptCntNmvl,wholPtCntDnmvl
21060,uad6dub9bduc554uc13cud130,2008,72,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2016,67,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2008,60,M,Y,2,4,2,4
21060,uad6dub9bduc554uc13cud130,2018,60,M,Y,3,3,3,3
21060,uad6dub9bduc554uc13cud130,2013,48,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2012,56,M,Y,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2014,82,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2009,84,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2010,71,F,N,4,4,4,4
21060,uad6dub9bduc554uc13cud130,2011,76,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2018,56,M,N,1,2,1,2
21060,uad6dub9bduc554uc13cud130,2011,65,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2011,58,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2013,51,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2011,66,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2017,36,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2012,68,M,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2014,72,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2013,76,M,N,1,2,1,2
21060,uad6dub9bduc554uc13cud130,2017,75,M,N,1,5,1,5
21060,uad6dub9bduc554uc13cud130,2017,48,M,Y,1,2,1,2
21060,uad6dub9bduc554uc13cud130,2018,74,M,Y,1,2,1,2
21060,uad6dub9bduc554uc13cud130,2012,52,F,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2009,48,M,Y,4,6,4,6
21060,uad6dub9bduc554uc13cud130,2018,77,M,N,1,3,1,3
21060,uad6dub9bduc554uc13cud130,2014,52,M,Y,1,2,1,2
21060,uad6dub9bduc554uc13cud130,2017,79,M,Y,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2011,80,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2009,59,F,N,5,5,5,5
21060,uad6dub9bduc554uc13cud130,2016,57,M,Y,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2015,61,M,Y,1,4,1,4
21060,uad6dub9bduc554uc13cud130,2011,77,M,N,6,6,6,6
21060,uad6dub9bduc554uc13cud130,2015,67,F,N,3,3,3,3
21060,uad6dub9bduc554uc13cud130,2017,70,F,N,3,3,3,3
21060,uad6dub9bduc554uc13cud130,2010,60,M,Y,2,5,2,5
21060,uad6dub9bduc554uc13cud130,2016,70,M,Y,3,3,3,3
21060,uad6dub9bduc554uc13cud130,2015,72,M,N,3,7,3,7
21060,uad6dub9bduc554uc13cud130,2010,77,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2009,67,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2017,71,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2014,47,M,N,1,2,1,2
21060,uad6dub9bduc554uc13cud130,2014,62,F,N,3,3,3,3
21060,uad6dub9bduc554uc13cud130,2017,65,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2009,45,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2018,46,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2010,42,M,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2010,45,M,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2018,79,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2014,51,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2018,63,M,N,2,6,2,6
21060,uad6dub9bduc554uc13cud130,2013,57,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2011,70,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2015,65,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2017,57,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2016,52,M,Y,3,3,3,3
21060,uad6dub9bduc554uc13cud130,2016,85,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2017,70,M,Y,6,7,5,6
21060,uad6dub9bduc554uc13cud130,2009,76,M,Y,2,3,2,3
21060,uad6dub9bduc554uc13cud130,2009,41,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2018,32,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2014,50,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2017,60,M,Y,4,4,4,4
21060,uad6dub9bduc554uc13cud130,2015,75,F,N,2,3,2,3
21060,uad6dub9bduc554uc13cud130,2013,87,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2008,58,M,N,2,4,2,4
21060,uad6dub9bduc554uc13cud130,2017,46,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2013,82,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2017,56,M,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2015,76,M,Y,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2018,72,M,Y,6,7,5,6
21060,uad6dub9bduc554uc13cud130,2016,82,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2017,54,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2010,48,M,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2015,67,M,Y,3,6,3,6
21060,uad6dub9bduc554uc13cud130,2012,78,M,Y,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2018,45,F,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2009,66,F,N,3,3,3,3
21060,uad6dub9bduc554uc13cud130,2018,54,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2011,67,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2011,69,M,N,1,2,1,2
21060,uad6dub9bduc554uc13cud130,2016,74,M,N,1,6,1,6
21060,uad6dub9bduc554uc13cud130,2010,68,M,N,2,3,2,3
21060,uad6dub9bduc554uc13cud130,2018,63,F,Y,1,4,1,4
21060,uad6dub9bduc554uc13cud130,2013,74,M,Y,4,5,4,5
21060,uad6dub9bduc554uc13cud130,2017,80,M,N,1,3,1,3
21060,uad6dub9bduc554uc13cud130,2008,35,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2010,62,M,Y,1,2,1,2
21060,uad6dub9bduc554uc13cud130,2008,57,M,Y,3,3,3,3
21060,uad6dub9bduc554uc13cud130,2018,66,M,Y,8,9,8,9
21060,uad6dub9bduc554uc13cud130,2011,70,M,N,6,6,6,6
21060,uad6dub9bduc554uc13cud130,2015,55,M,Y,3,3,3,3
21060,uad6dub9bduc554uc13cud130,2018,82,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2018,74,M,N,1,2,1,2
21060,uad6dub9bduc554uc13cud130,2012,45,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2016,53,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2014,55,M,Y,3,3,3,3
21060,uad6dub9bduc554uc13cud130,2013,65,M,Y,3,4,3,4
21060,uad6dub9bduc554uc13cud130,2016,54,F,N,3,3,3,3
21060,uad6dub9bduc554uc13cud130,2010,86,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2018,55,M,Y,5,5,5,5
21060,uad6dub9bduc554uc13cud130,2008,81,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2011,72,M,N,2,4,2,4
21060,uad6dub9bduc554uc13cud130,2013,72,M,Y,3,3,3,3
21060,uad6dub9bduc554uc13cud130,2010,80,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2017,75,F,N,6,6,6,6
21060,uad6dub9bduc554uc13cud130,2015,51,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2010,80,M,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2009,43,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2015,72,F,N,2,2,2,2
21060,uad6dub9bduc554uc13cud130,2009,51,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2016,67,M,N,2,4,2,4
21060,uad6dub9bduc554uc13cud130,2013,80,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2017,84,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2013,67,M,N,1,3,1,3
21060,uad6dub9bduc554uc13cud130,2011,72,F,N,3,3,3,3
21060,uad6dub9bduc554uc13cud130,2011,93,M,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2015,64,M,Y,3,5,3,5
21060,uad6dub9bduc554uc13cud130,2012,65,M,Y,3,4,3,4
21060,uad6dub9bduc554uc13cud130,2014,77,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2015,49,F,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2016,50,M,N,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2018,50,M,N,1,3,1,3
21060,uad6dub9bduc554uc13cud130,2012,67,M,Y,1,1,1,1
21060,uad6dub9bduc554uc13cud130,2018,57,M,N,2,6,2,6
21060,uad6dub9bduc554uc13cud130,2015,58,M,Y,3,3,3,3
21060,uad6dub9bduc554uc13cud130,2017,65,M,N,4,8,4,8
21060,uad6dub9bduc554uc13cud130,2010,66,M,N,4,4,4,4
21060,uad6dub9bduc554uc13cud130,2011,74,F,N,3,3,3,3
21060,uad6dub9bduc554uc13cud130,2009,72,M,N,2,4,2,4
21060,uad6dub9bduc554uc13cud130,2009,37,M,Y,1,1,1,1
