statsMetaNo,centerNm,critYr,ptAge,ptSexCd,statsTrgtNm,ncsNmvl,wholNcsDnmvl,ptCntNmvl,wholPtCntDnmvl
16040,uad6dub9bduc554uc13cud130,2015,79,M,N,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2014,4,F,,0,0,1,1
16040,uad6dub9bduc554uc13cud130,2014,64,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2015,64,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2013,48,F,Y,1,3,1,3
16040,uad6dub9bduc554uc13cud130,2015,33,M,Y,1,3,1,3
16040,uad6dub9bduc554uc13cud130,2016,66,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2014,48,M,Y,3,4,3,4
16040,uad6dub9bduc554uc13cud130,2015,31,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2013,55,M,Y,1,3,1,3
16040,uad6dub9bduc554uc13cud130,2016,60,M,N,1,3,1,3
16040,uad6dub9bduc554uc13cud130,2012,63,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2012,47,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2011,45,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2018,63,M,Y,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2012,36,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2018,73,M,Y,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2008,63,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2013,29,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2016,73,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2015,43,M,Y,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2013,55,M,N,2,3,2,3
16040,uad6dub9bduc554uc13cud130,2014,40,M,Y,1,3,1,3
16040,uad6dub9bduc554uc13cud130,2015,46,F,N,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2012,53,M,Y,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2017,76,M,Y,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2016,48,M,N,1,3,1,3
16040,uad6dub9bduc554uc13cud130,2010,68,M,Y,1,3,1,3
16040,uad6dub9bduc554uc13cud130,2018,59,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2012,48,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2017,65,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2011,48,M,Y,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2009,56,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2016,70,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2017,79,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2017,74,M,Y,1,4,1,4
16040,uad6dub9bduc554uc13cud130,2015,60,M,N,1,3,1,3
16040,uad6dub9bduc554uc13cud130,2008,48,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2011,39,M,N,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2018,62,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2012,70,M,N,1,3,1,3
16040,uad6dub9bduc554uc13cud130,2014,66,M,Y,3,4,3,4
16040,uad6dub9bduc554uc13cud130,2013,44,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2018,50,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2017,74,M,N,3,4,3,4
16040,uad6dub9bduc554uc13cud130,2012,44,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2014,19,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2017,70,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2016,76,F,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2009,51,F,Y,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2014,33,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2010,63,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2018,80,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2017,69,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2018,71,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2014,39,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2017,79,M,N,1,3,1,3
16040,uad6dub9bduc554uc13cud130,2014,35,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2015,45,M,Y,2,3,2,3
16040,uad6dub9bduc554uc13cud130,2013,52,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2016,78,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2013,50,M,Y,2,3,2,3
16040,uad6dub9bduc554uc13cud130,2014,55,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2012,44,F,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2014,54,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2016,46,M,Y,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2013,60,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2011,49,M,N,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2018,52,M,Y,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2013,67,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2018,61,F,N,3,3,3,3
16040,uad6dub9bduc554uc13cud130,2015,50,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2016,43,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2011,72,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2014,49,F,N,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2018,75,M,N,1,3,1,3
16040,uad6dub9bduc554uc13cud130,2008,59,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2015,45,F,Y,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2015,48,F,N,2,3,2,3
16040,uad6dub9bduc554uc13cud130,2011,60,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2014,51,M,Y,2,3,2,3
16040,uad6dub9bduc554uc13cud130,2013,78,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2015,46,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2016,32,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2018,58,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2014,79,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2014,57,M,Y,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2018,58,F,N,3,3,3,3
16040,uad6dub9bduc554uc13cud130,2017,62,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2012,49,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2014,81,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2016,88,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2018,41,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2015,70,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2011,73,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2012,74,M,N,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2018,62,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2016,74,F,N,3,3,3,3
16040,uad6dub9bduc554uc13cud130,2016,75,M,N,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2017,63,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2016,62,M,Y,3,3,3,3
16040,uad6dub9bduc554uc13cud130,2011,67,F,N,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2018,83,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2014,53,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2013,44,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2018,61,M,Y,3,4,3,4
16040,uad6dub9bduc554uc13cud130,2018,69,M,N,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2016,54,M,N,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2017,57,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2016,67,M,Y,2,5,2,5
16040,uad6dub9bduc554uc13cud130,2015,59,F,N,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2016,56,F,Y,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2012,37,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2011,57,M,Y,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2010,77,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2013,78,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2012,74,F,N,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2013,56,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2011,78,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2015,60,M,Y,2,3,2,3
16040,uad6dub9bduc554uc13cud130,2016,76,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2014,76,M,N,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2013,42,M,Y,3,4,3,4
16040,uad6dub9bduc554uc13cud130,2014,80,M,N,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2017,55,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2018,76,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2012,63,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2014,70,F,N,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2015,63,M,Y,1,3,1,3
16040,uad6dub9bduc554uc13cud130,2010,73,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2015,42,M,Y,2,3,2,3
16040,uad6dub9bduc554uc13cud130,2017,47,M,N,2,5,2,5
16040,uad6dub9bduc554uc13cud130,2016,77,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2014,51,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2009,67,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2008,45,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2016,53,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2015,79,F,Y,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2015,78,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2008,86,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2011,39,M,Y,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2011,56,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2013,40,M,Y,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2014,47,F,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2014,56,M,Y,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2017,66,M,Y,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2013,56,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2017,60,M,Y,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2018,68,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2016,39,F,N,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2018,57,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2010,68,M,N,2,3,2,3
16040,uad6dub9bduc554uc13cud130,2011,52,M,Y,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2010,71,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2015,65,M,Y,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2013,73,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2013,66,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2011,4,F,,0,0,1,1
16040,uad6dub9bduc554uc13cud130,2017,36,F,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2015,32,F,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2011,57,M,N,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2013,47,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2009,76,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2016,44,M,N,1,3,1,3
16040,uad6dub9bduc554uc13cud130,2017,30,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2016,67,M,N,3,5,3,5
16040,uad6dub9bduc554uc13cud130,2014,83,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2008,47,F,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2017,71,M,N,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2016,58,F,N,3,3,3,3
16040,uad6dub9bduc554uc13cud130,2018,67,F,N,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2014,49,M,Y,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2009,61,M,Y,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2013,71,M,Y,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2012,66,M,N,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2016,55,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2013,43,M,Y,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2012,61,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2017,77,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2013,81,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2008,67,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2017,35,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2016,56,M,Y,1,3,1,3
16040,uad6dub9bduc554uc13cud130,2013,59,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2015,80,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2018,59,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2015,55,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2012,60,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2012,66,M,Y,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2009,34,F,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2014,67,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2017,54,F,N,2,3,2,3
16040,uad6dub9bduc554uc13cud130,2018,39,M,Y,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2015,54,F,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2017,44,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2009,51,F,N,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2012,62,M,N,1,4,1,4
16040,uad6dub9bduc554uc13cud130,2018,29,F,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2013,48,M,Y,1,3,1,3
16040,uad6dub9bduc554uc13cud130,2013,60,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2016,44,F,Y,1,3,1,3
16040,uad6dub9bduc554uc13cud130,2013,70,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2009,2,F,,0,0,1,1
16040,uad6dub9bduc554uc13cud130,2016,46,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2018,44,F,N,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2009,39,F,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2012,39,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2014,73,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2017,62,M,N,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2009,69,M,Y,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2016,63,F,N,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2015,54,M,Y,3,3,3,3
16040,uad6dub9bduc554uc13cud130,2016,47,M,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2012,83,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2018,45,F,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2014,58,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2018,63,F,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2017,57,M,Y,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2013,73,M,N,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2008,69,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2011,33,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2014,71,F,N,2,2,2,2
16040,uad6dub9bduc554uc13cud130,2008,49,F,N,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2011,63,F,N,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2012,54,M,N,1,5,1,5
16040,uad6dub9bduc554uc13cud130,2013,49,F,N,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2012,46,F,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2016,32,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2011,63,M,N,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2016,57,M,N,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2014,47,M,Y,3,3,3,3
16040,uad6dub9bduc554uc13cud130,2009,61,M,N,1,2,1,2
16040,uad6dub9bduc554uc13cud130,2012,75,M,Y,1,1,1,1
16040,uad6dub9bduc554uc13cud130,2017,41,M,N,1,1,1,1
