region,age_group,year_2014,year_2015,year_2016,year_2017,year_2018
충북,50 - 54세,46753,45312,43139,41836,43032
충북,55 - 59세,40260,42318,44789,45594,45713
충북,60 - 64세,25431,28520,32192,34642,38975
충북,65 - 69세,18433,19024,19874,22090,24415
충북,70 - 74세,16440,15762,15630,15651,17281
충북,75 - 79세,13087,12841,13075,14223,14788
충북,80 - 84세,7639,8113,8960,9458,10165
충북,85세 이상,5060,5473,5977,6596,7417
충남,0세,3766,3534,3466,3215,2926
충남,1 - 4세,17182,16170,15528,14867,13635
충남,5 - 9세,23669,22703,22443,21902,20659
충남,10 - 14세,28725,25201,23482,22799,21811
충남,15 - 19세,36931,34006,31521,29064,26657
충남,20 - 24세,33803,33378,32769,31414,29477
충남,25 - 29세,26042,25205,25256,26601,24534
충남,30 - 34세,36012,33579,32273,30953,30222
충남,35 - 39세,41784,40699,41048,41364,42217
충남,40 - 44세,56713,53162,49846,48177,45855
충남,45 - 49세,61039,59301,60128,58916,58160
충남,50 - 54세,63232,60479,57729,56766,58262
충남,55 - 59세,53738,56149,60168,62015,62274
충남,60 - 64세,36004,39727,43390,46742,52106
충남,65 - 69세,27093,28872,30602,32599,34596
충남,70 - 74세,23961,22795,22497,22342,24651
충남,75 - 79세,20786,19727,19811,21228,21352
충남,80 - 84세,13300,13849,15130,15423,16180
충남,85세 이상,8954,9376,10440,11548,12791
전북,0세,3813,3475,3037,2976,2603
전북,1 - 4세,16507,15052,14084,12956,12087
전북,5 - 9세,21666,20568,20150,19291,18199
전북,10 - 14세,27371,23662,21508,20832,19511
전북,15 - 19세,34843,31712,29459,27356,24681
전북,20 - 24세,31817,31183,30285,29113,27028
전북,25 - 29세,23581,22544,22235,22404,20565
전북,30 - 34세,32111,29097,27334,25497,24982
전북,35 - 39세,37907,35720,35163,34480,35195
전북,40 - 44세,51979,48257,44676,42558,40661
전북,45 - 49세,53666,52123,51893,51399,50515
전북,50 - 54세,53901,51099,49054,48164,49091
전북,55 - 59세,45572,47294,49654,50638,50962
전북,60 - 64세,31451,33625,36411,39299,43792
전북,65 - 69세,24828,26431,27325,28023,30013
전북,70 - 74세,20921,20226,20367,20465,22517
전북,75 - 79세,16568,15998,16652,18310,18791
전북,80 - 84세,10545,11084,11846,12327,13094
전북,85세 이상,7542,8115,8898,9708,10792
전남,0세,4450,4272,3814,3708,3254
전남,1 - 4세,18483,17206,16362,15298,13813
전남,5 - 9세,23150,22390,22254,22121,20292
전남,10 - 14세,29380,25188,22811,22501,21211
전남,15 - 19세,37845,34847,32508,29989,27280
전남,20 - 24세,33977,33188,31999,31051,28780
전남,25 - 29세,23756,22491,22402,22577,20765
전남,30 - 34세,33083,30575,28681,26496,25299
전남,35 - 39세,39405,38207,37504,37714,37218
전남,40 - 44세,54156,49770,46526,44265,41799
전남,45 - 49세,58583,56796,56055,55482,53753
전남,50 - 54세,60703,57620,56157,55699,55259
전남,55 - 59세,51371,54056,56927,58479,58792
전남,60 - 64세,36259,38280,40500,43590,48913
전남,65 - 69세,31376,32097,32737,33662,34492
전남,70 - 74세,30705,28418,27140,26536,27656
전남,75 - 79세,25296,24809,25688,27419,26848
전남,80 - 84세,15613,15927,16852,17775,18966
전남,85세 이상,10550,11602,12354,13567,14822
경북,0세,5112,4844,4437,4277,3876
경북,1 - 4세,22247,21079,20284,18680,17586
경북,5 - 9세,29185,28010,27508,26820,25929
경북,10 - 14세,35273,30607,28382,27484,26540
경북,15 - 19세,45846,42463,39410,36002,33137
경북,20 - 24세,43883,42376,40797,38727,36293
경북,25 - 29세,33078,31567,31650,32189,29819
경북,30 - 34세,46480,43051,39984,37163,36880
경북,35 - 39세,55017,52229,51804,51344,53286
경북,40 - 44세,74493,69856,64830,61399,59400
경북,45 - 49세,80804,78222,77962,76143,74876
경북,50 - 54세,82603,79008,76024,74035,75654
경북,55 - 59세,72131,74199,77635,79492,80596
경북,60 - 64세,49918,54065,58940,62856,68856
경북,65 - 69세,35139,37724,40648,43619,47539
경북,70 - 74세,32474,30186,29317,28990,31492
경북,75 - 79세,25393,24977,25505,27722,28786
경북,80 - 84세,15491,16406,17758,18443,19698
경북,85세 이상,10808,11420,12559,13977,15554
경남,0세,5946,5680,5530,5211,4615
경남,1 - 4세,27053,25755,25438,24867,22754
경남,5 - 9세,36203,35684,35865,36209,34088
경남,10 - 14세,44357,38883,36601,36762,35265
경남,15 - 19세,59374,55181,51063,47913,43217
경남,20 - 24세,53874,52892,51437,50304,46562
경남,25 - 29세,38989,38651,39974,41654,37638
경남,30 - 34세,56654,53489,51003,48630,46590
경남,35 - 39세,67086,65936,67926,69813,70373
경남,40 - 44세,92812,86646,81451,79156,75730
경남,45 - 49세,100880,98715,99577,98809,96677
경남,50 - 54세,99500,95889,92648,91991,93790
경남,55 - 59세,84529,88764,94539,97767,97566
경남,60 - 64세,54833,61272,67770,73419,82264
경남,65 - 69세,38511,41508,44230,48438,52091
경남,70 - 74세,31293,29964,30311,31502,35049
경남,75 - 79세,23311,23416,24656,26570,27720
경남,80 - 84세,14499,15146,15999,16950,17724
경남,85세 이상,9875,10639,11688,13006,14159
제주,0세,1670,1669,1650,1435,1373
제주,1 - 4세,6808,6808,6741,6441,5943
제주,5 - 9세,9185,9274,9250,9377,9107
제주,10 - 14세,11150,10051,9489,9331,8981
제주,15 - 19세,13524,12998,12119,11264,10371
제주,20 - 24세,11843,11962,11610,11438,10814
제주,25 - 29세,8052,8128,8464,8975,8655
제주,30 - 34세,12596,12343,11683,11054,10847
제주,35 - 39세,15438,15533,16098,16539,17302
제주,40 - 44세,22096,21299,19899,19242,18724
제주,45 - 49세,22051,22381,23003,23466,23581
제주,50 - 54세,20634,20674,20666,20969,21292
제주,55 - 59세,16505,17541,18551,19193,19946
제주,60 - 64세,10416,11783,13093,14361,16385
제주,65 - 69세,8302,8680,8971,9448,10321
제주,70 - 74세,6440,6505,6750,7174,8142
제주,75 - 79세,4505,4592,5067,5425,5907
제주,80 - 84세,2845,3105,3376,3569,3811
제주,85세 이상,2253,2328,2592,2855,3290
